"ID","Group","Crim","Indirect","Reward","Susp","DirectCode","IndirectCode"
"064",2,2,1,2,4,"2.4","0.5"
"065",2,4,1,4,5,"2.5","1.4"
"065",2,4,1,4,5,"2.5","1.5"
"066",1,4,1,4,4,"1.4","1.5"
"067",1,1,1,1,1,"1.1","1.4"
"067",1,1,1,1,1,"1.1","1.1"
"068",1,2,1,2,2,"1.2","1.1"
"069",2,2,0,2,5,"2.5","1.2"
"069",2,2,0,2,5,"2.5","0.5"
"070",1,1,0,1,0,"1.0","0.5"
"070",1,1,0,1,0,"1.0","0.0"
"071",1,1,0,1,0,"1.0","0.0"
"071",1,1,0,1,0,"1.0","0.0"
"072",2,4,0,4,5,"2.5","0.0"
"072",2,4,0,4,5,"2.5","0.5"
"073",1,2,0,2,3,"1.3","0.5"
"074",1,3,0,3,4,"1.4","0.3"
"074",1,3,0,3,4,"1.4","0.4"
"076",2,4,0,4,4,"2.4","0.1"
"076",2,4,0,4,4,"2.4","0.4"
"077",2,1,1,1,2,"2.2","0.4"
"077",2,1,1,1,2,"2.2","1.2"
"078",1,4,0,4,4,"1.4","1.2"
"078",1,4,0,4,4,"1.4","0.4"
"079",1,3,0,3,2,"1.2","0.4"
"080",2,1,0,1,2,"2.2","0.2"
"080",2,1,0,1,2,"2.2","0.2"
"081",2,2,1,2,3,"2.3","0.2"
"083",2,2,0,2,3,"2.3","0.0"
"083",2,2,0,2,3,"2.3","0.3"
"084",1,1,1,1,0,"1.0","0.3"
"084",1,1,1,1,0,"1.0","1.0"
"085",2,1,1,1,2,"2.2","1.0"
"086",1,2,0,2,2,"1.2","0.2"
"088",1,2,1,2,2,"1.2","1.2"
"089",1,2,0,2,2,"1.2","1.2"
"089",1,2,0,2,2,"1.2","0.2"
"090",1,3,0,3,2,"1.2","0.2"
"090",1,3,0,3,2,"1.2","0.2"
"091",1,3,1,3,4,"1.4","0.2"
"091",1,3,1,3,4,"1.4","1.4"
"092",1,2,0,2,2,"1.2","0.2"
"093",1,1,0,1,0,"1.0","0.0"
"094",1,2,0,2,3,"1.3","0.0"
"094",1,2,0,2,3,"1.3","0.3"
"095",1,1,0,1,2,"1.2","0.3"
"095",1,1,0,1,2,"1.2","0.2"
"096",2,3,0,3,5,"2.5","0.2"
"097",1,2,1,2,4,"1.4","0.5"
"097",1,2,1,2,4,"1.4","1.4"
"098",1,1,0,1,2,"1.2","1.4"
"098",1,1,0,1,2,"1.2","0.2"
"100",1,2,0,2,1,"1.1","0.1"
"101",1,3,0,3,2,"1.2","0.1"
"101",1,3,0,3,2,"1.2","0.2"
"102",2,3,0,3,5,"2.5","0.5"
"103",1,1,1,1,1,"1.1","1.1"
"104",1,3,0,3,2,"1.2","1.1"
"104",1,3,0,3,2,"1.2","0.2"
"105",1,4,1,4,5,"1.5","1.5"
"106",2,2,0,2,3,"2.3","0.3"
"108",1,3,0,3,3,"1.3","1.3"
"109",2,2,1,2,3,"2.3","0.3"
"110",1,1,0,1,1,"1.1","1.3"
"110",1,1,0,1,1,"1.1","0.1"
"111",1,3,0,3,2,"1.2","0.1"
"112",1,1,0,1,1,"1.1","0.2"
"113",1,1,0,1,0,"1.0","0.1"
"113",1,1,0,1,0,"1.0","0.0"
"114",1,2,1,2,2,"1.2","0.0"
"114",1,2,1,2,2,"1.2","1.2"
"115",1,2,1,2,0,"1.0","1.2"
"115",1,2,1,2,0,"1.0","1.0"
"116",1,2,0,2,3,"1.3","1.0"
"117",1,4,0,4,4,"1.4","0.3"
"118",1,2,1,2,1,"1.1","0.4"
"119",1,1,0,1,1,"1.1","1.1"
"119",1,1,0,1,1,"1.1","0.1"
"120",1,2,1,2,3,"1.3","0.1"
"120",1,2,1,2,3,"1.3","1.3"
"121",1,3,1,3,1,"1.1","1.3"
"121",1,3,1,3,1,"1.1","1.1"
"122",2,3,0,3,4,"2.4","1.1"
"122",2,3,0,3,4,"2.4","0.4"
"123",1,4,0,4,5,"1.5","0.4"
"124",1,3,0,3,3,"1.3","0.5"
"124",1,3,0,3,3,"1.3","0.3"
"125",1,2,0,2,2,"1.2","0.3"
"127",2,2,1,2,3,"2.3","1.1"
"127",2,2,1,2,3,"2.3","1.3"
"128",1,4,1,4,3,"1.3","1.3"
"128",1,4,1,4,3,"1.3","1.3"
"129",1,2,0,2,0,"1.0","0.0"
"130",1,1,0,1,1,"1.1","0.1"
"131",1,4,0,4,4,"1.4","0.1"
"131",1,4,0,4,4,"1.4","0.4"
"132",1,4,1,4,3,"1.3","1.3"
"133",1,4,1,4,4,"1.4","1.3"
"134",2,1,0,1,3,"2.3","1.4"
"135",1,1,1,1,1,"1.1","0.3"
"135",1,1,1,1,1,"1.1","1.1"
"136",1,2,0,2,1,"1.1","1.1"
"136",1,2,0,2,1,"1.1","0.1"
"137",1,2,1,2,3,"1.3","1.3"
"139",1,3,1,3,2,"1.2","0.4"
"139",1,3,1,3,2,"1.2","1.2"
"140",1,1,0,1,1,"1.1","1.2"
"140",1,1,0,1,1,"1.1","0.1"
"142",1,2,0,2,3,"1.3","1.1"
"142",1,2,0,2,3,"1.3","0.3"
"143",1,4,0,4,5,"1.5","0.3"
"144",2,2,0,2,3,"2.3","0.5"
"145",2,3,1,3,3,"2.3","1.3"
"146",1,4,0,4,4,"1.4","1.3"
"147",2,1,1,1,2,"2.2","0.4"
"147",2,1,1,1,2,"2.2","1.2"
"148",1,3,0,3,2,"1.2","1.2"
"148",1,3,0,3,2,"1.2","0.2"
"149",2,2,0,2,3,"2.3","0.2"
"149",2,2,0,2,3,"2.3","0.3"
"150",1,1,0,1,0,"1.0","0.3"
"150",1,1,0,1,0,"1.0","0.0"
"151",1,4,0,4,3,"1.3","0.0"
"152",1,2,1,2,2,"1.2","0.3"
"152",1,2,1,2,2,"1.2","1.2"
"153",1,1,0,1,0,"1.0","1.2"
"153",1,1,0,1,0,"1.0","0.0"
"154",1,2,0,2,2,"1.2","0.0"
"154",1,2,0,2,2,"1.2","0.2"
"156",2,2,1,2,3,"2.3","0.0"
"156",2,2,1,2,3,"2.3","1.3"
"158",1,3,0,3,3,"1.3","0.3"
"160",1,2,0,2,2,"1.2","0.4"
"161",1,1,1,1,0,"1.0","1.0"
"163",2,4,0,4,5,"2.5","1.4"
"163",2,4,0,4,5,"2.5","0.5"
"164",2,4,1,4,6,"2.6","0.5"
"164",2,4,1,4,6,"2.6","1.6"
"165",1,3,1,3,2,"1.2","1.2"
"166",1,1,1,1,2,"1.2","1.2"
"166",1,1,1,1,2,"1.2","1.2"
"167",1,4,0,4,2,"1.2","0.2"
"168",1,4,1,4,4,"1.4","1.4"
"169",1,1,0,1,1,"1.1","1.4"
"170",1,4,1,4,5,"1.5","1.5"
"172",2,1,1,1,0,"2.0","0.4"
"173",2,1,0,1,2,"2.2","0.2"
"174",2,2,0,2,3,"2.3","0.3"
"176",1,3,0,3,4,"1.4","1.1"
"177",2,2,0,2,4,"2.4","0.4"
"177",2,2,0,2,4,"2.4","0.4"
"178",1,4,0,4,4,"1.4","0.4"
"179",1,1,0,1,1,"1.1","0.1"
"180",1,3,1,3,3,"1.3","0.1"
"180",1,3,1,3,3,"1.3","1.3"
"181",1,3,0,3,4,"1.4","1.3"
"182",1,2,0,2,3,"1.3","0.4"
"183",1,1,1,1,2,"1.2","0.3"
"184",2,1,0,1,3,"2.3","1.2"
"184",2,1,0,1,3,"2.3","0.3"
"185",1,4,0,4,4,"1.4","0.4"
"186",1,2,1,2,2,"1.2","1.2"
"187",2,3,0,3,4,"2.4","0.4"
"188",1,2,0,2,3,"1.3","0.4"
"188",1,2,0,2,3,"1.3","0.3"
"189",1,2,0,2,2,"1.2","0.3"
"191",1,2,1,2,2,"1.2","1.5"
"192",1,2,0,2,2,"1.2","1.2"
"192",1,2,0,2,2,"1.2","0.2"
"193",1,2,1,2,3,"1.3","0.2"
"194",1,3,0,3,3,"1.3","1.3"
"194",1,3,0,3,3,"1.3","0.3"
"195",1,4,0,4,4,"1.4","0.3"
"195",1,4,0,4,4,"1.4","0.4"
"196",1,3,1,3,3,"1.3","0.4"
"197",1,1,0,1,0,"1.0","1.3"
"199",2,4,1,4,4,"2.4","0.5"
"200",1,1,1,1,0,"1.0","1.4"
"200",1,1,1,1,0,"1.0","1.0"
"201",1,1,0,1,0,"1.0","1.0"
"201",1,1,0,1,0,"1.0","0.0"
"202",1,1,0,1,1,"1.1","0.1"
"203",1,4,0,4,3,"1.3","0.3"
"204",1,2,0,2,1,"1.1","0.3"
"204",1,2,0,2,1,"1.1","0.1"
"205",1,2,0,2,2,"1.2","0.1"
"205",1,2,0,2,2,"1.2","0.2"
"206",1,4,0,4,5,"1.5","0.2"
"206",1,4,0,4,5,"1.5","0.5"
"207",2,4,0,4,3,"2.3","0.3"
"209",1,4,1,4,3,"1.3","1.4"
"209",1,4,1,4,3,"1.3","1.3"
"210",1,2,1,2,2,"1.2","1.3"
"210",1,2,1,2,2,"1.2","1.2"
"211",1,4,0,4,6,"1.6","1.2"
"212",2,2,1,2,2,"2.2","0.6"
"212",2,2,1,2,2,"2.2","1.2"
"213",2,4,1,4,6,"2.6","1.6"
"214",1,3,0,3,4,"1.4","0.4"
"215",1,4,1,4,3,"1.3","0.4"
"215",1,4,1,4,3,"1.3","1.3"
"216",1,4,0,4,4,"1.4","1.3"
"216",1,4,0,4,4,"1.4","0.4"
"217",2,1,1,1,3,"2.3","0.4"
"218",2,1,0,1,2,"2.2","1.3"
"218",2,1,0,1,2,"2.2","0.2"
"219",1,1,1,1,1,"1.1","0.2"
"221",1,4,1,4,6,"1.6","0.3"
"221",1,4,1,4,6,"1.6","1.6"
"222",1,1,1,1,1,"1.1","1.1"
"223",1,3,0,3,3,"1.3","1.1"
"223",1,3,0,3,3,"1.3","0.3"
"225",2,1,0,1,4,"2.4","0.4"
"225",2,1,0,1,4,"2.4","0.4"
"226",2,4,0,4,5,"2.5","0.4"
"226",2,4,0,4,5,"2.5","0.5"
"227",1,2,1,2,2,"1.2","0.5"
"228",1,4,0,4,4,"1.4","0.4"
"230",1,4,0,4,5,"1.5","1.1"
"230",1,4,0,4,5,"1.5","0.5"
"232",1,1,0,1,0,"1.0","0.3"
"232",1,1,0,1,0,"1.0","0.0"
"233",1,2,0,2,2,"1.2","0.2"
"234",2,3,1,3,3,"2.3","0.2"
"234",2,3,1,3,3,"2.3","1.3"
"235",2,1,1,1,1,"2.1","1.3"
"237",1,3,0,3,3,"1.3","0.2"
"239",1,2,1,2,1,"1.1","0.2"
"239",1,2,1,2,1,"1.1","1.1"
"240",1,1,1,1,0,"1.0","1.1"
"240",1,1,1,1,0,"1.0","1.0"
"241",2,3,0,3,6,"2.6","1.0"
"241",2,3,0,3,6,"2.6","0.6"
"242",1,2,1,2,0,"1.0","0.6"
"242",1,2,1,2,0,"1.0","1.0"
"243",2,4,1,4,5,"2.5","1.0"
"244",2,2,1,2,4,"2.4","1.5"
"244",2,2,1,2,4,"2.4","1.4"
"245",1,3,0,3,3,"1.3","0.3"
"246",1,3,0,3,1,"1.1","0.3"
"247",2,4,1,4,5,"2.5","0.1"
"247",2,4,1,4,5,"2.5","1.5"
"248",2,1,1,1,1,"2.1","1.5"
"248",2,1,1,1,1,"2.1","1.1"
"249",1,2,1,2,2,"1.2","1.1"
"249",1,2,1,2,2,"1.2","1.2"
"250",1,4,0,4,2,"1.2","1.2"
"251",2,1,1,1,3,"2.3","0.2"
"252",2,3,0,3,5,"2.5","1.3"
"252",2,3,0,3,5,"2.5","0.5"
"253",2,4,0,4,4,"2.4","0.5"
"253",2,4,0,4,4,"2.4","0.4"
"254",1,4,0,4,5,"1.5","0.5"
"255",1,2,1,2,3,"1.3","0.5"
"255",1,2,1,2,3,"1.3","1.3"
"257",1,2,1,2,2,"1.2","1.4"
"257",1,2,1,2,2,"1.2","1.2"
"258",1,2,0,2,4,"1.4","1.2"
"258",1,2,0,2,4,"1.4","0.4"
"259",1,1,0,1,0,"1.0","0.4"
"259",1,1,0,1,0,"1.0","0.0"
"261",1,4,0,4,5,"1.5","0.7"
"261",1,4,0,4,5,"1.5","0.5"
"262",1,2,0,2,2,"1.2","0.2"
"263",1,4,0,4,2,"1.2","0.2"
"263",1,4,0,4,2,"1.2","0.2"
"264",1,2,1,2,2,"1.2","0.2"
"265",1,2,1,2,2,"1.2","1.2"
"265",1,2,1,2,2,"1.2","1.2"
"267",2,2,1,2,3,"2.3","1.1"
"267",2,2,1,2,3,"2.3","1.3"
"268",1,3,0,3,2,"1.2","1.3"
"268",1,3,0,3,2,"1.2","0.2"
"270",1,3,1,3,2,"1.2","1.5"
"270",1,3,1,3,2,"1.2","1.2"
"271",1,1,0,1,1,"1.1","1.2"
"271",1,1,0,1,1,"1.1","0.1"
"272",2,2,1,2,5,"2.5","0.1"
"273",2,3,1,3,3,"2.3","1.5"
"273",2,3,1,3,3,"2.3","1.3"
"274",1,2,0,2,3,"1.3","1.3"
"274",1,2,0,2,3,"1.3","0.3"
"275",1,1,0,1,1,"1.1","0.3"
"275",1,1,0,1,1,"1.1","0.1"
"276",2,2,1,2,4,"2.4","1.4"
"277",2,1,0,1,2,"2.2","1.4"
"277",2,1,0,1,2,"2.2","0.2"
"278",1,2,1,2,2,"1.2","1.2"
"279",1,2,0,2,1,"1.1","0.1"
"281",1,3,1,3,2,"1.2","1.5"
"282",1,1,0,1,1,"1.1","1.2"
"283",1,1,0,1,1,"1.1","0.1"
"283",1,1,0,1,1,"1.1","0.1"
"284",1,1,0,1,0,"1.0","0.1"
"284",1,1,0,1,0,"1.0","0.0"
"285",1,3,0,3,3,"1.3","0.0"
"285",1,3,0,3,3,"1.3","0.3"
"286",1,2,0,2,3,"1.3","0.3"
"286",1,2,0,2,3,"1.3","0.3"
"287",2,2,1,2,3,"2.3","0.3"
"287",2,2,1,2,3,"2.3","1.3"
"288",2,4,1,4,6,"2.6","1.3"
"288",2,4,1,4,6,"2.6","1.6"
"289",2,1,0,1,1,"2.1","1.6"
"289",2,1,0,1,1,"2.1","0.1"
"290",2,3,0,3,6,"2.6","0.1"
"290",2,3,0,3,6,"2.6","0.6"
"291",1,1,0,1,0,"1.0","0.6"
"293",1,1,1,1,1,"1.1","0.5"
"293",1,1,1,1,1,"1.1","1.1"
"294",1,3,1,3,2,"1.2","1.1"
"294",1,3,1,3,2,"1.2","1.2"
"295",2,4,0,4,5,"2.5","1.2"
"295",2,4,0,4,5,"2.5","0.5"
"296",2,3,1,3,5,"2.5","0.5"
"297",2,3,0,3,3,"2.3","1.5"
"297",2,3,0,3,3,"2.3","0.3"
"298",1,1,1,1,1,"1.1","0.3"
"298",1,1,1,1,1,"1.1","1.1"
"299",2,1,0,1,2,"2.2","1.1"
"299",2,1,0,1,2,"2.2","0.2"
"300",1,4,0,4,4,"1.4","0.4"
"301",1,1,0,1,1,"1.1","0.4"
"303",2,2,1,2,5,"2.5","1.5"
"304",2,2,0,2,4,"2.4","1.5"
"306",1,2,0,2,2,"1.2","1.6"
"307",1,3,1,3,3,"1.3","1.3"
"308",2,4,0,4,5,"2.5","1.3"
"309",1,1,0,1,3,"1.3","0.3"
"310",1,1,1,1,3,"1.3","1.3"
"311",1,1,0,1,2,"1.2","1.3"
"311",1,1,0,1,2,"1.2","0.2"
"312",1,3,0,3,5,"1.5","0.2"
"312",1,3,0,3,5,"1.5","0.5"
"313",2,1,1,1,1,"2.1","1.1"
"314",1,3,1,3,2,"1.2","1.1"
"314",1,3,1,3,2,"1.2","1.2"
"316",2,1,1,1,2,"2.2","1.1"
"317",1,2,1,2,2,"1.2","1.2"
"319",2,4,0,4,5,"2.5","0.5"
"320",1,4,0,4,4,"1.4","0.5"
"320",1,4,0,4,4,"1.4","0.4"
"321",1,3,0,3,4,"1.4","0.4"
"321",1,3,0,3,4,"1.4","0.4"
"322",1,4,0,4,4,"1.4","0.4"
"322",1,4,0,4,4,"1.4","0.4"
"323",2,2,1,2,4,"2.4","0.4"
"324",2,1,0,1,1,"2.1","0.1"
"325",2,1,0,1,2,"2.2","0.1"
"328",1,4,1,4,5,"1.5","0.5"
"330",2,4,1,4,6,"2.6","1.4"
"330",2,4,1,4,6,"2.6","1.6"
"331",1,1,0,1,1,"1.1","1.6"
"331",1,1,0,1,1,"1.1","0.1"
"333",2,3,1,3,4,"2.4","1.3"
"333",2,3,1,3,4,"2.4","1.4"
"334",2,4,0,4,3,"2.3","1.4"
"334",2,4,0,4,3,"2.3","0.3"
"335",1,1,1,1,0,"1.0","0.3"
"336",1,2,0,2,2,"1.2","1.0"
"336",1,2,0,2,2,"1.2","0.2"
"337",1,4,0,4,4,"1.4","0.2"
"337",1,4,0,4,4,"1.4","0.4"
"338",1,4,0,4,4,"1.4","0.4"
"338",1,4,0,4,4,"1.4","0.4"
"340",2,3,0,3,5,"2.5","0.6"
"341",2,2,1,2,3,"2.3","1.3"
"342",1,1,0,1,2,"1.2","1.3"
"343",1,1,0,1,1,"1.1","0.1"
"344",2,2,1,2,2,"2.2","1.2"
"345",1,1,0,1,0,"1.0","0.0"
"346",1,1,1,1,3,"1.3","0.0"
"346",1,1,1,1,3,"1.3","1.3"
"347",1,1,1,1,0,"1.0","1.3"
"347",1,1,1,1,0,"1.0","1.0"
"348",2,3,1,3,4,"2.4","1.0"
"348",2,3,1,3,4,"2.4","1.4"
"349",1,3,0,3,3,"1.3","0.3"
"351",1,3,1,3,5,"1.5","0.4"
"351",1,3,1,3,5,"1.5","1.5"
"352",1,3,1,3,5,"1.5","1.5"
"352",1,3,1,3,5,"1.5","1.5"
"353",2,2,0,2,4,"2.4","1.5"
"353",2,2,0,2,4,"2.4","0.4"
"355",1,4,1,4,6,"1.6","0.1"
"355",1,4,1,4,6,"1.6","1.6"
"356",2,1,0,1,1,"2.1","1.6"
"356",2,1,0,1,1,"2.1","0.1"
"358",1,4,0,4,4,"1.4","0.0"
"359",2,2,1,2,2,"2.2","1.2"
"360",1,4,0,4,5,"1.5","1.2"
"360",1,4,0,4,5,"1.5","0.5"
"361",1,4,0,4,3,"1.3","0.5"
"361",1,4,0,4,3,"1.3","0.3"
"362",2,3,0,3,6,"2.6","0.6"
"363",1,4,0,4,4,"1.4","0.6"
"363",1,4,0,4,4,"1.4","0.4"
"364",1,2,0,2,3,"1.3","0.3"
"365",1,2,1,2,2,"1.2","0.3"
"366",1,4,1,4,3,"1.3","1.2"
"366",1,4,1,4,3,"1.3","1.3"
"367",1,4,0,4,4,"1.4","0.4"
"368",1,3,0,3,4,"1.4","0.4"
"368",1,3,0,3,4,"1.4","0.4"
"369",1,1,1,1,0,"1.0","1.0"
"370",1,4,0,4,4,"1.4","0.4"
"371",2,2,0,2,3,"2.3","0.4"
"371",2,2,0,2,3,"2.3","0.3"
"372",2,3,0,3,1,"2.1","0.3"
"374",1,2,0,2,2,"1.2","0.3"
"374",1,2,0,2,2,"1.2","0.2"
"375",1,4,1,4,6,"1.6","1.6"
"376",2,1,0,1,3,"2.3","1.6"
"376",2,1,0,1,3,"2.3","0.3"
"377",2,4,1,4,3,"2.3","0.3"
"378",1,2,1,2,5,"1.5","1.3"
"379",1,3,0,3,4,"1.4","1.5"
"379",1,3,0,3,4,"1.4","0.4"
"380",1,4,0,4,2,"1.2","0.4"
"380",1,4,0,4,2,"1.2","0.2"
"381",1,2,0,2,1,"1.1","0.2"
"381",1,2,0,2,1,"1.1","0.1"
"382",2,3,1,3,4,"2.4","0.1"
"382",2,3,1,3,4,"2.4","1.4"
"383",2,3,0,3,4,"2.4","0.4"
"384",2,1,0,1,2,"2.2","0.4"
"385",1,2,0,2,2,"1.2","0.2"
"386",1,2,0,2,0,"1.0","0.2"
"386",1,2,0,2,0,"1.0","0.0"
"387",2,3,1,3,4,"2.4","0.0"
"387",2,3,1,3,4,"2.4","1.4"
"388",1,1,0,1,0,"1.0","1.4"
"388",1,1,0,1,0,"1.0","0.0"
"389",2,4,1,4,6,"2.6","1.6"
"390",2,4,0,4,4,"2.4","0.4"
"391",1,3,0,3,3,"1.3","0.4"
"391",1,3,0,3,3,"1.3","0.3"
"392",1,1,0,1,0,"1.0","0.3"
"392",1,1,0,1,0,"1.0","0.0"
"393",2,3,0,3,4,"2.4","0.0"
"395",2,3,0,3,5,"2.5","0.2"
"395",2,3,0,3,5,"2.5","0.5"
"396",1,3,0,3,3,"1.3","0.5"
"396",1,3,0,3,3,"1.3","0.3"
"397",1,2,0,2,1,"1.1","0.3"
"398",2,2,1,2,1,"2.1","0.1"
"398",2,2,1,2,1,"2.1","1.1"
"399",1,1,0,1,1,"1.1","0.1"
"400",2,1,0,1,3,"2.3","0.1"
"401",1,3,0,3,2,"1.2","0.3"
"401",1,3,0,3,2,"1.2","0.2"
"402",1,1,0,1,1,"1.1","0.2"
"403",1,2,1,2,3,"1.3","0.1"
"404",1,1,0,1,2,"1.2","1.3"
"404",1,1,0,1,2,"1.2","0.2"
"405",1,2,0,2,3,"1.3","0.2"
"405",1,2,0,2,3,"1.3","0.3"
"406",1,2,1,2,3,"1.3","0.3"
"406",1,2,1,2,3,"1.3","1.3"
"407",1,2,0,2,2,"1.2","1.3"
"407",1,2,0,2,2,"1.2","0.2"
"409",1,4,1,4,3,"1.3","0.2"
"409",1,4,1,4,3,"1.3","1.3"
"410",1,4,0,4,4,"1.4","1.3"
"410",1,4,0,4,4,"1.4","0.4"
"411",1,2,1,2,1,"1.1","0.4"
"412",1,4,0,4,5,"1.5","0.5"
"413",1,4,1,4,5,"1.5","1.5"
"414",1,1,0,1,1,"1.1","1.5"
"415",1,2,0,2,3,"1.3","0.1"
"415",1,2,0,2,3,"1.3","0.3"
"416",1,3,1,3,2,"1.2","0.3"
"417",2,3,0,3,4,"2.4","1.2"
"417",2,3,0,3,4,"2.4","0.4"
"418",2,2,1,2,2,"2.2","0.4"
"419",1,3,0,3,4,"1.4","1.2"
"419",1,3,0,3,4,"1.4","0.4"
"420",1,3,0,3,1,"1.1","0.4"
"420",1,3,0,3,1,"1.1","0.1"
"421",1,2,0,2,0,"1.0","0.1"
"422",2,3,1,3,4,"2.4","1.4"
"423",2,4,1,4,4,"2.4","1.4"
"423",2,4,1,4,4,"2.4","1.4"
"424",1,4,0,4,4,"1.4","1.4"
"425",2,4,1,4,6,"2.6","0.4"
"425",2,4,1,4,6,"2.6","1.6"
"426",1,4,1,4,3,"1.3","1.6"
"426",1,4,1,4,3,"1.3","1.3"
"427",2,3,1,3,7,"2.7","1.3"
"427",2,3,1,3,7,"2.7","1.7"
"428",1,2,0,2,2,"1.2","1.7"
"428",1,2,0,2,2,"1.2","0.2"
"429",1,2,1,2,0,"1.0","1.0"
"430",1,4,0,4,4,"1.4","1.0"
"430",1,4,0,4,4,"1.4","0.4"
"431",1,1,0,1,1,"1.1","0.1"
"432",1,1,0,1,1,"1.1","0.1"
"432",1,1,0,1,1,"1.1","0.1"
"433",1,4,0,4,5,"1.5","0.1"
"434",1,1,1,1,3,"1.3","0.5"
"434",1,1,1,1,3,"1.3","1.3"
"435",1,1,1,1,0,"1.0","1.3"
"436",2,2,1,2,1,"2.1","1.1"
"438",1,3,1,3,4,"1.4","0.3"
"438",1,3,1,3,4,"1.4","1.4"
"439",1,3,0,3,1,"1.1","1.4"
"441",1,2,1,2,1,"1.1","0.5"
"442",1,4,1,4,4,"1.4","1.1"
"442",1,4,1,4,4,"1.4","1.4"
"443",2,1,0,1,0,"2.0","1.4"
